Match_ID,Season,Match_Date,Opponent,Venue,Home_Away,Innings,Batting_Position,Runs,Balls,Fours,Sixes,Strike_Rate,Dismissal,Catches,Wickets,Result,Player_of_the_Match
100001,2011,2008-11-08,PBKS,Kolkata,Home,1,1,32,18,8,0,177.78,Caught,3,4,Win,Yes
100002,2024,2021-10-18,MI,Lucknow,Home,1,3,2,70,0,0,2.86,Hit Wicket,4,3,Win,No
100003,2018,2014-07-12,KKR,Kolkata,Away,1,5,43,14,5,4,307.14,Run Out,3,0,Win,No
100004,2019,2021-03-30,DC,Mumbai,Home,2,4,40,30,4,0,133.33,Run Out,0,1,Loss,Yes
100005,2019,2016-04-06,DC,Delhi,Home,1,3,17,78,1,0,21.79,Stumped,3,3,Loss,Yes
100006,2015,2009-01-05,RR,Hyderabad,Away,2,2,14,9,1,2,155.56,Run Out,2,5,Loss,Yes
100007,2016,2011-06-05,DC,Lucknow,Away,1,4,8,75,1,0,10.67,Hit Wicket,4,1,Win,Yes
100008,2012,2022-05-15,KKR,Hyderabad,Home,1,5,47,50,6,7,94.0,Stumped,2,4,Win,No
100009,2018,2010-10-18,PBKS,Hyderabad,Home,2,1,70,59,8,8,118.64,Hit Wicket,4,1,Win,Yes
100010,2019,2025-05-25,KKR,Lucknow,Home,2,3,35,77,5,3,45.45,Bowled,0,0,Win,Yes
100011,2010,2010-03-20,GT,Mumbai,Home,1,4,6,17,0,1,35.29,Not Out,4,4,Win,No
100012,2020,2023-05-12,RR,Ahmedabad,Away,1,1,0,16,0,0,0.0,Not Out,2,0,Win,Yes
100013,2010,2024-03-03,MI,Kolkata,Home,1,2,30,5,3,2,600.0,Stumped,3,5,Loss,Yes
100014,2023,2017-06-04,DC,Mumbai,Home,1,7,28,56,5,3,50.0,Stumped,3,3,Win,Yes
100015,2020,2024-08-17,RR,Mumbai,Home,1,2,43,25,6,2,172.0,Run Out,3,2,Win,Yes
100016,2025,2008-08-16,CSK,Kolkata,Home,1,1,57,53,7,7,107.55,Run Out,3,1,Win,No
100017,2016,2025-11-18,GT,Delhi,Away,1,5,21,72,1,2,29.17,Stumped,0,1,Loss,Yes
100018,2009,2021-05-25,GT,Lucknow,Home,1,1,13,8,0,0,162.5,Run Out,4,0,Win,Yes
100019,2009,2022-03-09,CSK,Hyderabad,Away,2,6,44,34,3,4,129.41,Run Out,1,3,Loss,Yes
100020,2008,2018-07-29,CSK,Mumbai,Home,2,2,68,65,8,2,104.62,LBW,0,2,Win,No
100021,2025,2024-01-28,PBKS,Dharamsala,Home,1,6,25,71,1,2,35.21,LBW,0,0,Loss,Yes
100022,2018,2012-11-10,PBKS,Lucknow,Away,2,7,65,33,1,1,196.97,Caught,3,5,Win,No
100023,2012,2022-08-02,PBKS,Chennai,Away,1,5,27,71,0,0,38.03,Hit Wicket,1,5,Loss,Yes
100024,2021,2011-02-26,MI,Delhi,Away,1,6,7,6,1,0,116.67,LBW,1,5,Loss,Yes
100025,2015,2011-12-10,KKR,Hyderabad,Home,1,3,33,23,6,5,143.48,Hit Wicket,1,5,Win,No
100026,2009,2018-11-07,DC,Kolkata,Away,1,6,15,45,2,0,33.33,Run Out,0,1,Loss,No
100027,2010,2025-08-22,PBKS,Jaipur,Away,1,1,32,69,4,1,46.38,Not Out,2,4,Loss,No
