Match_ID,Season,Match_Date,Opponent,Venue,Home_Away,Innings,Batting_Position,Runs,Balls,Fours,Sixes,Strike_Rate,Dismissal,Catches,Wickets,Result,Player_of_the_Match,Boundary_Runs,Running_Runs,Performance
100001,2011,2008-11-08,PBKS,Kolkata,Home,1,1,32,18,8,0,177.77777777777777,Caught,3,4,Win,Yes,32,0,Good
100002,2024,2021-10-18,MI,Lucknow,Home,1,3,2,70,0,0,2.857142857142857,Hit Wicket,4,3,Win,No,0,2,Low
100003,2018,2014-07-12,KKR,Kolkata,Away,1,5,43,14,5,4,307.14285714285717,Run Out,3,0,Win,No,44,0,Good
100004,2019,2021-03-30,DC,Mumbai,Home,2,4,40,30,4,0,133.33333333333331,Run Out,0,1,Loss,Yes,16,24,Good
100005,2019,2016-04-06,DC,Delhi,Home,1,3,17,78,1,0,21.794871794871796,Stumped,3,3,Loss,Yes,4,13,Low
100006,2015,2009-01-05,RR,Hyderabad,Away,2,2,14,9,1,2,155.55555555555557,Run Out,2,5,Loss,Yes,16,0,Low
100007,2016,2011-06-05,DC,Lucknow,Away,1,4,8,75,1,0,10.666666666666668,Hit Wicket,4,1,Win,Yes,4,4,Low
100008,2012,2022-05-15,KKR,Hyderabad,Home,1,5,47,50,6,7,94.0,Stumped,2,4,Win,No,66,0,Good
100009,2018,2010-10-18,PBKS,Hyderabad,Home,2,1,70,59,8,8,118.64406779661016,Hit Wicket,4,1,Win,Yes,80,0,Half Century
100010,2019,2025-05-25,KKR,Lucknow,Home,2,3,35,77,5,3,45.45454545454545,Bowled,0,0,Win,Yes,38,0,Good
100011,2010,2010-03-20,GT,Mumbai,Home,1,4,6,17,0,1,35.294117647058826,Not Out,4,4,Win,No,6,0,Low
100012,2020,2023-05-12,RR,Ahmedabad,Away,1,1,0,16,0,0,0.0,Not Out,2,0,Win,Yes,0,0,Low
100013,2010,2024-03-03,MI,Kolkata,Home,1,2,30,5,3,2,600.0,Stumped,3,5,Loss,Yes,24,6,Good
100014,2023,2017-06-04,DC,Mumbai,Home,1,7,28,56,5,3,50.0,Stumped,3,3,Win,Yes,38,0,Low
100015,2020,2024-08-17,RR,Mumbai,Home,1,2,43,25,6,2,172.0,Run Out,3,2,Win,Yes,36,7,Good
